Cost($)	product_1(kg)	product_2(g)	product_3(quantity)	product_4(quantity
User 1	0.24	0.24	0.06	0.14	0.29
User 2	0.85	0.87	0.09	0.14	0.36
User 3	0.78	0.75	0.16	0.14	0.36
User 4	0.35	0.87	0.5	0.14	0.33
User 5	0.01	0.11	0.06	0.07	0.0
User 6	0.8	0.37	0.1	1.0	0.29
User 7	0.63	0.11	1.0	0.07	0.29
User 8	0.35	0.11	0.09	0.07	1.0
User 9	0.0	0.05	0.0	0.07	0.29
User 10	0.21	0.24	0.01	0.14	0.29
User 11	0.32	0.37	0.01	0.21	0.14
User 12	0.04	0.0	0.1	0.21	0.14
User 13	0.42	0.43	0.02	0.29	0.14
User 14	0.64	0.75	0.02	0.07	0.33
User 15	0.07	0.35	0.02	0.24	0.29
User 16	0.14	0.24	0.01	0.0	0.29
User 17	0.49	0.37	0.2	0.21	0.36
User 18	0.39	0.37	0.02	0.21	0.36
User 19	0.35	1.0	0.09	0.21	0.36
User 20	0.38	0.37	0.01	0.21	0.36
User 21	0.31	0.24	0.02	0.29	0.36
User 22	0.31	0.35	0.02	0.29	0.36
User 23	1.0	0.87	0.01	0.29	0.79
User 24	0.02	0.0	0.01	0.24	0.36
User 25	0.05	0.0	0.01	0.21	0.36
User 26	0.25	0.24	0.02	0.21	0.29
User 27	0.33	0.24	0.01	0.21	0.57
User 28	0.19	0.24	0.09	0.21	0.07
User 29	0.19	0.24	0.01	0.21	0.07
User 30	0.5	0.18	0.01	1.0	0.33
